name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,2017,55000,Diesel,Dealer,Manual,First Owner,28.4,1248,74,5
Hyundai i20 Sportz,2019,32000,Petrol,Individual,Automatic,First Owner,18.6,1197,81.8,5
Honda City V MT,2018,41000,Petrol,Dealer,Manual,Second Owner,17.4,1497,117.3,5
Toyota Innova Crysta 2.4 G,2020,28000,Diesel,Dealer,Manual,First Owner,15.6,2393,147.5,7
Mahindra XUV500 W8,2016,78000,Diesel,Individual,Automatic,Second Owner,15.1,2179,140,7
Ford EcoSport Titanium,2019,35000,Diesel,Dealer,Manual,First Owner,23,1498,98.6,5
Tata Nexon XZ Plus,2021,18000,Petrol,Dealer,Automatic,First Owner,17.5,1199,118.3,5
Renault Kwid RXT,2018,46000,Petrol,Individual,Manual,First Owner,25.2,799,53.3,5
Hyundai Creta SX,2022,12000,Diesel,Dealer,Automatic,First Owner,21.4,1493,113.4,5
Kia Seltos HTX,2023,8000,Petrol,Dealer,Automatic,First Owner,16.8,1497,138.1,5
